iter	RMSE
201	0.1555948683
202	0.1531505752
203	0.1506976798
204	0.1504500105
205	0.1500489396
206	0.1475799354
207	0.1473571694
208	0.1471159698
209	0.146502368
210	0.1462073186
211	0.1436950956
212	0.1434692785
213	0.1432309014
214	0.1407578812
215	0.1404912466
216	0.1398545124
217	0.1396370679
218	0.1394800095
219	0.1392735478
220	0.1390667824
221	0.136652723
222	0.1345671935
223	0.1343544861
224	0.1326845745
225	0.1324928419
226	0.1322517844
227	0.1320884015
228	0.131913823
229	0.1317436294
230	0.1315617476
231	0.1314005266
232	0.1312223867
233	0.1310391222
234	0.1308823837
235	0.1306928599
236	0.1305206492
237	0.1303549738
238	0.1301693498
239	0.1300183243
240	0.1298679001
241	0.1290406428
242	0.12888579
243	0.1287294479
244	0.1269617454
245	0.1249555993
246	0.1234896847
247	0.1233182814
248	0.1231582761
249	0.1230010316
250	0.1211605311
251	0.1201749124
252	0.120022867
253	0.1198886355
254	0.1197316832
255	0.1195487915
256	0.1194289747
257	0.1178671499
258	0.1177328079
259	0.1176001544
260	0.1161837667
261	0.1160652329
262	0.1148219329
263	0.1146872508
264	0.1132054778
265	0.1130307568
266	0.112921003
267	0.1127054152
268	0.1125937476
269	0.111719488
270	0.1116047391
271	0.1115061007
272	0.1114028466
273	0.1113030976
274	0.1111892601
275	0.1103234515
276	0.1095230471
277	0.1082152664
278	0.1067863802
279	0.1066966522
280	0.1062315629
281	0.1061406251
282	0.1060564968
283	0.1059681774
284	0.1058055967
285	0.1054573252
286	0.1053759575
287	0.1052757574
288	0.1051945535
289	0.1050905093
290	0.1045732173
291	0.1040944543
292	0.1040192226
293	0.1036606467
294	0.1026233338
295	0.1024425111
296	0.1023530425
297	0.1022765875
298	0.1019206866
299	0.1016724813
300	0.101608556
301	0.1015266535
302	0.1012907231
303	0.1002202554
304	0.1000866509
305	0.09973745143
306	0.09874542073
307	0.09812424603
308	0.09797916267
309	0.09792182506
310	0.09782760242
311	0.09747891999
312	0.09725416932
313	0.09680643318
314	0.09597242582
315	0.09548015912
316	0.09519199735
317	0.09489280234
318	0.09455613366
319	0.09356091064
320	0.09349219843
321	0.09297359002
322	0.09263176224
323	0.09246542157
324	0.0923506948
325	0.09212172968
326	0.09173069991
327	0.09064343507
328	0.09027400826
329	0.08927851969
330	0.08869672974
331	0.08855317002
332	0.08840750293
333	0.08832459639
334	0.08736258138
335	0.08722264138
336	0.08690763063
337	0.0860670728
338	0.08558475049
339	0.0850558296
340	0.08500168147
341	0.084209227
342	0.08415673437
343	0.08382639812
344	0.08351196267
345	0.08298951872
346	0.08294209724
347	0.08252106702
348	0.08170640762
349	0.08165779069
350	0.08146602333
351	0.08068440519
352	0.08060109496
353	0.07978328057
354	0.07912814014
355	0.07824203723
356	0.07812572258
357	0.07785621326
358	0.0770825926
359	0.0764992592
360	0.07572015953
361	0.0756564117
362	0.07500050302
363	0.07449491354
364	0.07446216552
365	0.07380225313
366	0.07373842825
367	0.07308004837
368	0.07283973696
369	0.07249431483
370	0.07245130862
371	0.072213953
372	0.072171921
373	0.07188626535
374	0.07184534682
375	0.07179318368
376	0.07147721794
377	0.07088636658
378	0.07027914684
379	0.06998536147
380	0.06951441806
381	0.06918967668
382	0.06898441463
383	0.06878320389
384	0.06832903178
385	0.06812315053
386	0.0676291881
387	0.06757659098
388	0.0672593659
389	0.06720566032
390	0.06690914079
391	0.06633057443
392	0.06628382753
393	0.06604195792
394	0.06575747851
395	0.0655958934
396	0.06531309011
397	0.06507825174
398	0.06504440838
399	0.06500667073
400	0.06496336763
401	0.06452454547
402	0.06417470951
403	0.06393955927
404	0.06351615478
405	0.06347427596
406	0.06331604761
407	0.06294529789
408	0.06277871347
409	0.06222503786
410	0.06193080802
411	0.06167083884
412	0.06126966958
413	0.06078119465
414	0.06054666884
415	0.06051729352
416	0.06018234775
417	0.05990254792
418	0.05983896102
419	0.05947135075
420	0.05931082904
421	0.05916503186
422	0.05897449931
423	0.05881675333
424	0.05878317506
425	0.05842407432
426	0.05794683781
427	0.05774577631
428	0.05770370778
429	0.05733892885
430	0.0570116437
431	0.05688993592
432	0.05669810562
433	0.05647448135
434	0.05621264881
435	0.055754423
436	0.05555990984
437	0.05546726777
438	0.05543391717
439	0.05523594887
440	0.05485360268
441	0.05453763447
442	0.05431131185
443	0.05387306675
444	0.05365375674
445	0.05341673451
446	0.05313305472
447	0.05290133395
448	0.05258373944
449	0.05252923469
450	0.05248847896
451	0.05220189905
452	0.05210053055
453	0.05192617029
454	0.05175319284
455	0.0513553442
456	0.05107940762
457	0.05080749076
458	0.05068361649
459	0.05039367752
460	0.05011625963
461	0.04989897325
462	0.04966513663
463	0.04949647588
464	0.04906418284
465	0.04902143399
466	0.04874070236
467	0.04858679971
468	0.04830756126
469	0.04812218502
470	0.04787114812
471	0.04744953488
472	0.04733717294
473	0.04694290856
474	0.04667470522
475	0.04643971378
476	0.0461124588
477	0.04579671367
478	0.04563624257
479	0.04541402286
480	0.04522699341
481	0.04509576943
482	0.04490217431
483	0.04461966311
484	0.0444613033
485	0.04419379986
486	0.04405068603
487	0.0437968364
488	0.04350840821
489	0.04326148046
490	0.04288913357
491	0.04274423857
492	0.04258478104
493	0.04255735484
494	0.04246066649
495	0.0423676852
496	0.04217291364
497	0.04188667682
498	0.04159699506
499	0.04146608296
500	0.04128277807
501	0.04104590489
502	0.04073765046
503	0.04054253298
504	0.04033741884
505	0.04030829376
506	0.04004710045
507	0.03984161905
508	0.03965316099
509	0.03950532116
510	0.03940311307
511	0.03917102048
512	0.03893068754
513	0.0388079556
514	0.03861962695
515	0.03845046651
516	0.03827559663
517	0.03805755263
518	0.03785767267
519	0.0376326536
520	0.03736261599
521	0.03715605478
522	0.03694547359
523	0.03674263933
524	0.03645517646
525	0.03617629657
526	0.03615350687
527	0.03598774254
528	0.03579951764
529	0.03562746842
530	0.03537927853
531	0.03529916495
532	0.03517940335
533	0.03498404942
534	0.03478351488
535	0.03467436178
536	0.03447097968
537	0.03444496439
538	0.0342142696
539	0.03403757704
540	0.03386001043
541	0.03383749033
542	0.03372451269
543	0.03354570684
544	0.03342577259
545	0.03323640306
546	0.03312275737
547	0.03287806991
548	0.03265432086
549	0.03263607857
550	0.03247604355
551	0.0322977183
552	0.03220377781
553	0.03205572269
554	0.03203660439
555	0.03183629827
556	0.0315939044
557	0.03144063881
558	0.03126369716
559	0.03113800177
560	0.03111280471
561	0.03096196229
562	0.03081555475
563	0.03069192116
564	0.03054694413
565	0.03041082994
566	0.03024407119
567	0.03015080796
568	0.02998517865
569	0.02985581492
570	0.0296440056
571	0.02962727923
572	0.02954817528
573	0.02937461327
574	0.02932989542
575	0.02916284713
576	0.02899366196
577	0.02877592708
578	0.02863997253
579	0.02849388287
580	0.02836392986
581	0.02834147911
582	0.02827159338
583	0.02814022273
584	0.02797130675
585	0.02789476531
586	0.02771207392
587	0.02759237727
588	0.02757682807
589	0.02744084559
590	0.02742421498
591	0.02725961299
592	0.02714704277
593	0.0270410565
594	0.02687182342
595	0.02672994917
596	0.02660477972
597	0.02646945654
598	0.02638785645
599	0.02626932983
600	0.02613673457
601	0.02602016004
602	0.02595723301
603	0.02585078602
604	0.02573222045
605	0.02556994381
606	0.0254232482
607	0.02521607783
608	0.02512986169
609	0.0249855033
610	0.02492471375
611	0.0248023461
612	0.02471970452
613	0.02459591217
614	0.02448176545
615	0.02437468984
616	0.0242504333
617	0.02412709266
618	0.02399617469
619	0.02389307461
620	0.02373514982
621	0.02355139413
622	0.02343769921
623	0.0233421196
624	0.0233035039
625	0.02316017316
626	0.02303828951
627	0.02293711885
628	0.02276870461
629	0.02258887618
630	0.0224870655
631	0.02239815377
632	0.02227747015
633	0.02219478806
634	0.02208873402
635	0.02200885223
636	0.02188689327
637	0.02177203032
638	0.02175927898
639	0.02160877806
640	0.02152820485
641	0.02146189473
642	0.02135506828
643	0.02129407915
644	0.02124403983
645	0.02114087634
646	0.02104290165
647	0.0209471225
648	0.02086724745
649	0.02071750386
650	0.02065924751
651	0.02054677405
652	0.02045296763
653	0.02036463188
654	0.02024532603
655	0.02017011663
656	0.02010262356
657	0.02009330264
658	0.01999102561
659	0.01989979268
660	0.01986594368
661	0.01977663305
662	0.01973487656
663	0.01963366866
664	0.01959672242
665	0.01953230974
666	0.01944150068
667	0.01933213333
668	0.01925596653
669	0.01916044932
670	0.01911493148
671	0.01895679526
672	0.0188480005
673	0.01880267766
674	0.01876721841
675	0.01866300797
676	0.0185553521
677	0.01848094545
678	0.01840998325
679	0.01830272082
680	0.01824149406
681	0.01816932378
682	0.01807833783
683	0.01801142572
684	0.01791653471
685	0.01785619314
686	0.01776477784
687	0.01769743643
688	0.01759686319
689	0.01752546042
690	0.01751568658
691	0.01742340675
692	0.01735557971
693	0.01727635459
694	0.01722358354
695	0.01716183961
696	0.01708242827
697	0.0170118209
698	0.01687437567
699	0.01686485557
700	0.01682205952
701	0.01678236618
702	0.01671393635
703	0.01663615444
704	0.01660277703
705	0.0164863639
706	0.01644760782
707	0.01635836596
708	0.01623269863
709	0.01622284709
710	0.0161473783
711	0.01606400537
712	0.01599177814
713	0.01592866566
714	0.01585521881
715	0.01575856901
716	0.01569268745
717	0.01562554522
718	0.01558586515
719	0.01558032178
720	0.01549807261
721	0.01537861079
722	0.01530346386
723	0.01520564831
724	0.01515649257
725	0.0151367861
726	0.01503754503
727	0.01495850399
728	0.01488310291
729	0.0148768873
730	0.01478888993
731	0.01473855878
732	0.01468067922
733	0.01460146246
734	0.01453347498
735	0.01447456557
736	0.01444047336
737	0.0143682319
738	0.01429658226
739	0.01421736737
740	0.01412832446
741	0.01408584223
742	0.01400901995
743	0.01394436941
744	0.01388936765
745	0.01384425274
746	0.0137858544
747	0.01368277582
748	0.01363198741
749	0.01356391775
750	0.01354472385
751	0.01349406586
752	0.01341886921
753	0.01334718879
754	0.01329843231
755	0.01324766622
756	0.01319655056
757	0.01315718515
758	0.01311135209
759	0.01303306046
760	0.01296351482
761	0.01290641546
762	0.01284070742
763	0.01278561404
764	0.01274532953
765	0.01269450796
766	0.01264620665
767	0.01259188462
768	0.01255957341
769	0.01251848229
770	0.01247286753
771	0.01242833441
772	0.01236137512
773	0.01229769541
774	0.01223150087
775	0.01218379093
776	0.0121295505
777	0.01211435779
778	0.01206519947
779	0.01203607987
780	0.01197012928
781	0.01192038265
782	0.01189402587
783	0.01182632293
784	0.01179730586
785	0.0117324431
786	0.01166632339
787	0.01161557602
788	0.0115535399
789	0.0115029335
790	0.01146763336
791	0.01139727741
792	0.01134450756
793	0.01128971892
794	0.0112571541
795	0.01121887296
796	0.01116854236
797	0.01111050626
798	0.01106518297
799	0.01100344678
800	0.01096583142
801	0.01091159749
802	0.01087440259
803	0.01082267876
804	0.01077476218
805	0.01071862062
806	0.01068732405
807	0.01064598705
808	0.01059876368
809	0.01054096843
810	0.01049561914
811	0.01043525003
812	0.01038715521
813	0.01034244
814	0.01032046161
815	0.01025916892
816	0.01022196338
817	0.0101813471
818	0.01014342576
819	0.01008935237
820	0.01008371555
821	0.01005620836
822	0.01004346528
823	0.0100036872
824	0.009983920451
825	0.009939430375
826	0.00989629368
827	0.009855226137
828	0.009809443937
829	0.009785402072
830	0.009728333696
831	0.009676455229
832	0.009637626208
833	0.009596959521
834	0.009582627094
835	0.009549358726
836	0.009515278849
837	0.009473318866
838	0.009439183894
839	0.009379891563
840	0.009358570471
841	0.00933396503
842	0.009300570803
843	0.009269160712
844	0.009242077591
845	0.00920391346
846	0.009150371141
847	0.009125258563
848	0.00910528939
849	0.009068314109
850	0.009029412907
851	0.008992242421
852	0.008947940307
853	0.008926669627
854	0.008903341284
855	0.008873781866
856	0.008866847606
857	0.008828616897
858	0.00878947966
859	0.008752512335
860	0.008740799736
861	0.008689718738
862	0.00865698735
863	0.008594645604
864	0.008548715385
865	0.008501439307
866	0.008459509446
867	0.008412536311
868	0.008372100224
869	0.008336815452
870	0.008306959675
871	0.008269021306
872	0.008228671515
873	0.00820639375
874	0.00818381325
875	0.008167362876
876	0.008145473347
877	0.008096890418
878	0.008094802796
879	0.008052807347
880	0.008014261717
881	0.007978470582
882	0.007954696302
883	0.007914783372
884	0.007883668747
885	0.007853675585
886	0.007822199521
887	0.007785735239
888	0.007764665261
889	0.007711755017
890	0.007684864756
891	0.007652111326
892	0.007621202658
893	0.007590660412
894	0.007563186339
895	0.007531098452
896	0.007492195751
897	0.007461458071
898	0.007430266609
899	0.007387129701
900	0.007354298188
901	0.007310999536
902	0.007279760115
903	0.007261757512
904	0.007222068622
905	0.00719768088
906	0.007151030453
907	0.007111858809
908	0.00706977599
909	0.007047437525
910	0.00700737405
911	0.006970583827
912	0.006929987984
913	0.006905426227
914	0.006877947796
915	0.006841291046
916	0.006809151911
917	0.006794837777
918	0.006774716213
919	0.006741400525
920	0.006703744931
921	0.006675704422
922	0.00664496166
923	0.006616549587
924	0.006589769366
925	0.006570856012
926	0.006537061214
927	0.006504456912
928	0.006481648976
929	0.006455493693
930	0.006429022241
931	0.006398636682
932	0.006381635178
933	0.006359739792
934	0.006329968496
935	0.006324548848
936	0.006299621425
937	0.00627678667
938	0.006273083925
939	0.006253876638
940	0.006230884437
941	0.00621390914
942	0.006184586879
943	0.0061584109
944	0.006130467255
945	0.006104414642
946	0.006072843091
947	0.006043890865
948	0.006019264087
949	0.00599828331
950	0.005976845596
951	0.00595419515
952	0.005911561145
953	0.00587644854
954	0.005855252411
955	0.005821067004
956	0.005793232196
957	0.005764141977
958	0.005739862703
959	0.005736434174
960	0.005715336817
961	0.0056920406
962	0.005678860641
963	0.00565729822
964	0.005624806427
965	0.005596794388
966	0.005567108297
967	0.005542341774
968	0.005525293916
969	0.005499042521
970	0.005491820809
971	0.005470991165
972	0.005439755237
973	0.00541654947
974	0.005393927607
975	0.005369396014
976	0.005354966866
977	0.005324146624
978	0.005300539805
979	0.00527880117
980	0.005260564619
981	0.005238311246
982	0.005227424949
983	0.005202915825
984	0.005178664903
985	0.005156710522
986	0.005133074221
987	0.005114954176
988	0.005091824938
989	0.005075816074
990	0.005044919646
991	0.005011668347
992	0.004999196257
993	0.004982298173
994	0.004962103566
995	0.004943404307
996	0.004920696621
997	0.004892989211
998	0.004870903778
999	0.004852485793
